ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_N2_CH4
25,MN11016,6730.25977,1.15047,3.43352,5.47494,0.0,0.0,4146.16992,0.61605,0.53548,1.9339,18.8047033,0.1690534,16.1579394,0.45146,14.6255361,0.126592,12.0212336,0.4989397,0.4998287,1.88889,0.44444,1.043e-09,1.91e-09,4.283657466885217,0.5460732984293194,29874.191978084124,12748.449332136512,0.42673787935381974
26,MN11091,9409.92969,1.0588,5.94458,6.67654,1139.63,1076.34998,5816.47021,0.61812,0.5838,1.84874,16.4512156,0.1806643,13.7928407,0.50588,12.4744201,0.1338939,9.8628156,0.4989397,0.4998287,1.83333,0.5,7.093e-09,1.009e-09,3.6545030442002058,7.029732408325075,138908.2582775994,5397.439913671408,0.03885614851555452
27,MN11113,9423.49023,1.10535,5.72098,7.41795,1313.02002,1187.88,5714.12012,0.60637,0.54858,2.07416,17.1630257,0.1881377,14.4971775,0.55247,13.2317866,0.1443738,10.6097023,0.4989397,0.4998287,2.0,0.5,5.901e-09,8.739e-09,3.754339602150343,0.6752488843117062,129468.82021327673,50979.38977876059,0.39375804687785954
28,MN11146,13095.7002,0.81245,6.88648,8.36348,1969.83997,2424.55005,9422.63965,0.71952,0.88561,1.46182,13.1331135,0.1434452,10.5119577,0.61432,10.5635811,0.1032539,7.9826166,0.4989397,0.4998287,1.33333,0.5,1.708e-08,2.43e-08,2.379574163302513,0.7028806584362141,190047.0066657923,113424.55082129427,0.596823663846268
29,MN11162,7095.58008,1.08369,3.76682,5.5664,1169.41003,1079.09998,4521.16016,0.63718,0.58797,1.6989,17.5538756,0.1621883,14.9139768,0.43599,13.5501679,0.1178637,10.9545937,0.4989397,0.4998287,1.66667,0.33333,1.305e-09,3.57e-09,3.8966490057111405,0.36554621848739494,31145.804408775664,21826.93928300373,0.7007987013767336
30,MN11171,13069.9003,0.85687,6.97012,8.3618,1559.45996,1819.95996,8800.37012,0.67333,0.7858,1.5571,15.5043661,0.1127993,12.9138563,0.51928,11.2644671,0.078286,8.7084706,0.4989397,0.4998287,1.5,0.5,1.571e-08,1.495e-08,2.9985749499306733,1.0508361204013377,186564.3661906012,59102.47502084055,0.3167940171407611
31,MN11188,7098.3501,1.08327,3.92623,5.02632,1117.81995,1031.89001,4542.24023,0.6399,0.59071,1.36927,17.6010077,0.1443944,14.9789028,0.35959,13.7107413,0.1042215,11.1288092,0.4989397,0.4998287,1.33333,0.33333,3.259e-09,4.822e-09,3.8078645123613,0.6758606387391124,62664.91351444417,24305.954180263707,0.3878718219991035
32,MN11197,7976.97021,1.11558,5.68584,7.28332,881.52698,790.19299,4899.85986,0.61425,0.55061,1.37962,16.5726448,0.1313164,13.9636179,0.3808,12.8275824,0.0964152,10.2534566,0.4989397,0.4998287,1.33333,0.33333,7.415e-09,3.528e-09,3.622951680672269,2.1017573696145124,127832.4532015736,16758.026570393355,0.13109367887955908
33,MN11198,7979.66992,1.11017,6.00221,7.5065,1048.64001,944.57098,4967.91016,0.62257,0.56079,1.16119,15.4885613,0.1205312,12.8903196,0.35036,12.0415251,0.0907589,9.4730557,0.4989397,0.4998287,1.0,0.33333,5.857e-09,7.321e-09,3.3142767439205385,0.8000273186723126,84957.54366818673,31984.180878184383,0.3764725237714377
34,MN11214,9428.59961,1.11578,6.46835,8.05535,1223.54004,1096.58997,5852.70996,0.62074,0.55633,1.66684,16.3681457,0.1496703,13.7407649,0.51248,12.7792432,0.1088634,10.1926692,0.4989397,0.4998287,1.66667,0.5,7.855e-09,7.684e-09,3.2524976584452077,1.0222540343571058,138420.94600233616,41557.82971918382,0.30022789844596526
