ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_m3m-3,Va_cm3g-1,C2H6_Hen,C2H6_Qst,C2H4_Hen,C2H4_Qst,C2H6_Ds,C2H4_Ds,C2H6_P0,C2H4_P0,C2H6_P0_barrer,C2H4_P0_barrer,Sads_C2H6_C2H4,Sads_C2H4_C2H6,Sdiff_C2H4_C2H6,Sperm_C2H6_C2H4,Sperm_C2H4_C2H6
63,M8401,11874.9003,0.71918,6.7046,9.68567,2247.91992,3125.65991,0.72641,1.01005,3.357e-05,18.436635,2.494e-05,17.42669,8.511e-09,1.164e-08,2.0547998869859998e-10,2.08779104688e-10,615209.5470017964,625087.1397844312,1.3460304731355253,0.7429252308608877,1.3676418752203032,0.9841980547127538,1.0160556558830611
1048,MN52735,13605.2998,0.93048,4.52794,8.09115,1786.46997,1919.93994,0.67429,0.72467,3.281e-05,16.729854,2.522e-05,17.695898,4.861e-09,6.423e-09,1.4840170621679997e-10,1.507266500688e-10,444316.4856790419,451277.3954155689,1.3009516256938938,0.7686680889972569,1.3213330590413497,0.984575097695472,1.015666557422214
1981,MN8082,19772.0,0.73776,6.45559,10.33976,2356.42993,3194.04004,0.73499,0.99625,2.103e-05,14.3032,1.635e-05,15.813261,1.073e-08,1.398e-08,1.6647694574400002e-10,1.6863201648e-10,498433.9692934133,504886.2768862276,1.2862385321100918,0.7774607703281028,1.302889095992544,0.987220275360607,1.0129451602224486
2283,MM26303,5698.25,0.87653,3.67966,8.08451,0.0,0.0,0.68235,0.77847,3.98e-05,14.8463,3.318e-05,18.181395,8.92e-09,1.082e-08,3.1118217448e-10,3.14680931628e-10,931683.1571257487,942158.4779281439,1.1995177817962628,0.8336683417085426,1.2130044843049328,0.9888815724235365,1.0112434369155192
125,M8590,14004.5996,0.62903,7.59807,10.52497,1971.80005,3134.68994,0.71659,1.13921,2.979e-05,16.870094,2.337e-05,17.451578,8.67e-09,1.117e-08,1.62465428079e-10,1.6420381538700001e-10,486423.4373622755,491628.1897814372,1.2747111681643133,0.7844914400805639,1.2883506343713957,0.9894132343764185,1.0107000444867245
30,M7695,4496.25,0.85416,4.24379,8.28595,1763.15002,2064.20996,0.65266,0.7641,4.084e-05,9.6376784,3.861e-05,18.230748,7.83e-09,8.334e-09,2.7314089315200004e-10,2.7484796607840004e-10,817787.1052455092,822898.1020311379,1.0577570577570579,0.9453966699314397,1.064367816091954,0.9937890283462638,1.0062497889155324
2451,MM8912,9060.16,0.69195,7.78578,10.47042,2318.54,3350.75,0.74897,1.08241,3.2e-05,19.0501,2.244e-05,16.718586,1.33e-08,1.906e-08,2.9449391999999997e-10,2.9595144347999997e-10,881718.3233532935,886082.1661077845,1.4260249554367201,0.70125,1.4330827067669172,0.9950751263015938,1.0049492481203008
305,MN11553,10134.0,1.03541,5.73152,7.22931,1747.28003,1687.53003,0.66576,0.64299,2.49e-05,14.527705,2.47e-05,17.45273,1.153e-08,1.167e-08,2.9726310476999994e-10,2.9845589708999996e-10,890009.2957185628,893580.5302095809,1.0080971659919027,0.9919678714859439,1.0121422376409366,0.9960034553458987,1.0040125811137004
2279,MM26299,3418.4,1.10529,4.12256,5.20616,1108.86,1003.23,0.63686,0.57619,5.33e-05,12.0619,5.079e-05,22.676631,6.02e-09,6.341e-09,3.546499811400001e-10,3.559690231731001e-10,1061826.2908383238,1065775.5184823356,1.0494191770033472,0.9529080675422139,1.0533222591362126,0.9962945033212665,1.0037192784526874
1363,MN61644,11713.0,0.7119,7.98568,10.52386,1976.77002,2776.73999,0.73293,1.02954,2.258e-05,16.912156,1.974e-05,16.809786,8.467e-09,9.714e-09,1.36104501834e-10,1.36509928884e-10,407498.50848503,408712.3619281438,1.14387031408308,0.8742249778565102,1.1472776662336128,0.9970300544926332,1.0029787923583489
