ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H6_C2H4
15,MM26293,7922.47,0.66831,4.54121,11.14886,2293.6,3431.94,5883.38,0.74262,1.11119,5.79185,22.0563605,2.7262471,16.8524029,6.7623,20.0337613,2.5056922,15.0503585,0.4958603,0.4967872,5.75,6.75,6.476e-09,6.74e-09,0.8564911346731142,0.9608308605341247,494213.54831400083,575944.6072874906,0.8580921534131274
16,MM26294,7110.35,0.70816,4.68014,10.11463,1997.12,2820.15,5150.17,0.72432,1.02282,4.90413,22.0453337,2.6789874,16.8886358,5.83029,20.0523079,2.4338589,15.1407385,0.4958603,0.4967872,4.875,5.75,5.831e-09,6.358e-09,0.841146838321936,0.9171122994652408,439834.31907203,521922.76201849635,0.8427191743295588
17,MM26295,6625.95,0.64247,5.74606,9.66111,2340.9,3643.58,5066.27,0.76461,1.19011,1.99544,17.1873981,1.4239188,13.2857688,2.62632,15.6947284,1.2659925,11.9510254,0.4958603,0.4967872,1.875,2.625,2.507e-08,2.645e-08,0.7597855554540193,0.9478260869565217,798939.1361369668,1049570.4724977212,0.7612058047285638
18,MM26300,7432.34,0.63717,5.72543,11.03504,2474.89,3884.19,5643.67,0.75934,1.19174,2.60248,18.5142811,1.4549871,14.5815835,3.39732,16.9801278,1.3041286,13.1982887,0.4958603,0.4967872,2.5,3.25,1.196e-08,1.313e-08,0.7660391131833327,0.9108910891089108,461131.188165512,600845.0571679099,0.7674710520863052
19,MM26315,5827.55,0.77156,4.62498,8.32683,2040.93,2645.18,4207.61,0.72202,0.93579,3.66508,21.9520611,2.6001389,16.8742117,4.5211,20.087844,2.3661619,15.2439716,0.4958603,0.4967872,3.625,4.5,9.247e-09,1.045e-08,0.8106611222932473,0.8848803827751197,659190.8969546817,811635.0566960704,0.8121764720686853
20,MM26319,9839.75,0.55833,5.38305,11.87549,2310.75,4138.68,7615.18,0.77392,1.38613,3.60382,18.4895373,1.4983875,14.5134393,4.61664,16.8305592,1.3579488,12.9948998,0.4958603,0.4967872,3.5,4.5,1.783e-08,2.155e-08,0.7806153392943785,0.8273781902552204,791633.1379474116,1012222.125188055,0.7820745251941007
21,MM26332,7114.42,0.70211,4.24538,10.33821,2044.81,2912.38,5225.04,0.73443,1.04604,5.51337,22.22526,2.8774173,16.8701322,6.41472,20.3437956,2.6219063,15.2441788,0.4958603,0.4967872,5.5,6.375,1.301e-08,1.332e-08,0.8594872418437594,0.9767267267267268,1035332.5207913878,1202345.7227124674,0.8610938611364615
22,MM26335,8219.41,0.6684,4.33044,11.22616,1891.35,2829.67,6061.57,0.73747,1.10334,5.21516,21.430803,2.3907117,16.5623808,6.17736,19.4427558,2.1913935,14.7736518,0.4958603,0.4967872,5.0,6.0,8.054e-09,8.757e-09,0.8442376678710647,0.9197213657645312,557288.2971053224,658876.6836688292,0.8458157814936913
23,MM26461,5020.84,0.8042,5.08227,7.3068,2400.9,2985.46,3609.98,0.719,0.89406,4.27917,21.9297021,3.0578925,16.3940991,4.72511,19.8355547,2.7545543,14.6032898,0.4958603,0.4967872,4.25,4.625,1.39e-08,1.62e-08,0.9056233611492642,0.8580246913580247,1384829.6465778146,1526292.1720148295,0.9073162216050202
24,MM3189,12217.9,0.54041,7.29421,9.0293,2355.74,4359.21,9548.92,0.78155,1.44623,4.01744,17.0257885,1.4923281,13.0557499,5.14911,15.5851301,1.3717369,11.7356826,0.4958603,0.4967872,4.0,5.0,3.031e-08,3.411e-08,0.7802202710759722,0.8885957197302844,1124945.1156755008,1439140.0060849693,0.7816787184839625
