ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
25,MM22110,21847.7,0.55454,7.49926,12.24992,2068.26,3729.66,16906.4,0.77383,1.39543,9.29678,18.4312924,1.7380736,14.2155083,11.18554,16.7153481,1.6614961,12.5761414,0.4958603,0.4967872,9.25,11.125,1.689e-08,1.887e-08,0.8311427074598098,0.8950715421303658,720865.6460824913,967185.8236981507,1.341700535951844
26,MM22117,22407.7,0.50869,7.97995,14.81993,2042.15,4014.53,17589.2,0.78496,1.5431,7.89468,17.9516441,1.6294724,13.8444612,9.61369,16.0749699,1.4745007,12.1227587,0.4958603,0.4967872,7.0,9.0,1.776e-08,2.045e-08,0.8211914467805806,0.8684596577017115,627590.8962234032,878357.8967185324,1.3995708064029404
27,MM22140,21804.5,0.64336,7.14334,9.86195,2068.32,3214.89,16400.5,0.75216,1.16912,11.06556,19.8780461,2.1103691,15.2899665,13.17038,17.8744209,1.8814096,13.5153007,0.4958603,0.4967872,11.0,13.125,1.325e-08,1.476e-08,0.8401853249488626,0.8976964769647696,674435.0373048733,892533.3504015977,1.3233792745529243
28,MM22144,21855.9,0.55066,7.3038,12.37756,2042.23,3708.69,17045.0,0.77988,1.41626,8.30093,18.2620617,1.6733587,14.1109924,10.06766,16.2682166,1.5048456,12.2856605,0.4958603,0.4967872,8.25,10.0,1.708e-08,1.956e-08,0.8245143360026063,0.8732106339468303,650643.5044671425,902017.1871157486,1.3863462570866263
29,MM22146,21778.3,0.54718,7.3454,10.98447,2073.48,3789.41,16858.4,0.77409,1.4147,9.33299,18.6521585,1.7442676,14.4301804,11.02451,16.8903753,1.6316193,12.7810455,0.4958603,0.4967872,9.25,11.0,1.482e-08,1.85e-08,0.8465673304301053,0.801081081081081,637003.4877476923,937546.4021670801,1.4718073294732548
30,MM22147,21835.9,0.60046,7.23411,9.97524,2087.45,3476.44,16565.1,0.75862,1.2634,10.51759,19.6227558,1.9196597,15.2253856,12.58331,17.9024911,1.9049808,13.5197997,0.4958603,0.4967872,10.5,12.5,1.319e-08,1.5e-08,0.835836516782945,0.8793333333333334,637219.3596125211,865372.3716954862,1.3580446962906148
31,MM22262,33478.6,0.38337,7.54945,14.44467,1971.59,5142.83,27839.1,0.83155,2.16907,6.39493,17.4191394,1.2335651,13.7078637,8.56824,15.1871384,1.0609119,11.648516,0.4958603,0.4967872,6.0,8.0,1.948e-08,2.268e-08,0.746352809911954,0.8589065255731922,373212.0242366419,581104.8421960635,1.5570367631767497
32,MM22263,33563.8,0.39544,7.55265,13.67789,1983.89,5016.99,27834.4,0.8293,2.09718,6.06544,16.8956111,1.0824814,13.3354191,8.26836,15.0165092,0.9530554,11.5857432,0.4958603,0.4967872,6.0,8.0,2.266e-08,2.35e-08,0.733572316638366,0.9642553191489361,410723.6595888496,579567.0482828491,1.4110875639913667
33,MM22270,33569.9,0.40374,7.55663,14.77018,1972.71,4886.09,27832.1,0.82908,2.0535,7.0203,17.720271,1.201894,14.0406664,9.14308,15.4295486,1.0626371,11.889201,0.4958603,0.4967872,7.0,9.0,2.212e-08,2.294e-08,0.7678265967267048,0.9642545771578029,463968.9951173665,625493.8448234055,1.3481371630558618
34,MM23625,12518.3,0.59997,7.09769,11.55298,1942.6,3237.82,9063.85,0.72405,1.20681,6.69593,20.0604471,2.1033981,15.4793385,7.81,18.0578087,1.8660593,13.7140389,0.4958603,0.4967872,6.625,7.75,1.174e-08,1.271e-08,0.8573533930857875,0.923682140047207,629843.3568483704,793851.1478928901,1.2603945715410685
35,MM23698,10300.5,0.53557,7.29685,11.3923,2201.61,4110.78,7699.41,0.74748,1.39567,5.15517,19.6387416,2.0134064,15.1476246,5.95731,17.1263794,1.8004264,12.8482424,0.4958603,0.4967872,5.125,5.875,1.373e-08,1.576e-08,0.865351979332954,0.8711928934010151,689212.8434271395,912504.863337219,1.3239812229843988
